"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"1","0","0","0","0","0","0","0","20251208","20260610"
"2","0","0","0","0","0","0","0","20251208","20260610"
"3","0","0","0","0","0","0","0","20251208","20260610"
"4","0","0","0","0","0","0","0","20251208","20260610"
"5","0","0","0","0","0","0","0","20251208","20260610"
"6","0","0","0","0","0","0","0","20251208","20260610"
"7","0","0","0","0","0","0","0","20251208","20260610"
"8","0","0","0","0","0","0","0","20251208","20260610"
"9","0","0","0","0","0","0","0","20251208","20260610"
"10","0","0","0","0","0","0","0","20251208","20260610"
"11","0","0","0","0","0","0","0","20251208","20260610"
"12","0","0","0","0","0","0","0","20251208","20260610"
"13","0","0","0","0","0","0","0","20251208","20260610"
"14","0","0","0","0","0","0","0","20251208","20260610"
"15","0","0","0","0","0","0","0","20251208","20260610"
"16","0","0","0","0","0","0","0","20251208","20260610"
"17","0","0","0","0","0","0","0","20251208","20260610"
"18","0","0","0","0","0","0","0","20251208","20260610"
"19","0","0","0","0","0","0","0","20251208","20260610"
"20","0","0","0","0","0","0","0","20251208","20260610"
"21","0","0","0","0","0","0","0","20251208","20260610"
"22","0","0","0","0","0","0","0","20251208","20260610"
"23","0","0","0","0","0","0","0","20251208","20260610"
"24","0","0","0","0","0","0","0","20251208","20260610"
"25","0","0","0","0","0","0","0","20251208","20260610"
"26","0","0","0","0","0","0","0","20251208","20260610"
"27","0","0","0","0","0","0","0","20251208","20260610"
"28","0","0","0","0","0","0","0","20251208","20260610"
"29","0","0","0","0","0","0","0","20251208","20260610"
"30","0","0","0","0","0","0","0","20251208","20260610"
"31","0","0","0","0","0","0","0","20251208","20260610"
"32","0","0","0","0","0","0","0","20251208","20260610"
"33","0","0","0","0","0","0","0","20251208","20260610"
"34","0","0","0","0","0","0","0","20251208","20260610"
"35","0","0","0","0","0","0","0","20251208","20260610"
"36","0","0","0","0","0","0","0","20251208","20260610"
"37","0","0","0","0","0","0","0","20251208","20260610"
"38","0","0","0","0","0","0","0","20251208","20260610"
"39","0","0","0","0","0","0","0","20251208","20260610"
"40","0","0","0","0","0","0","0","20251208","20260610"
"41","0","0","0","0","0","0","0","20251208","20260610"
"42","0","0","0","0","0","0","0","20251208","20260610"
"43","0","0","0","0","0","0","0","20251208","20260610"
"44","0","0","0","0","0","0","0","20251208","20260610"
"45","0","0","0","0","0","0","0","20251208","20260610"
"46","0","0","0","0","0","0","0","20251208","20260610"
"47","0","0","0","0","0","0","0","20251208","20260610"
"48","0","0","0","0","0","0","0","20251208","20260610"
"49","0","0","0","0","0","0","0","20251208","20260610"
"50","0","0","0","0","0","0","0","20251208","20260610"
"51","0","0","0","0","0","0","0","20251208","20260610"
"52","0","0","0","0","0","0","0","20251208","20260610"
"53","0","0","0","0","0","0","0","20251208","20260610"
"54","0","0","0","0","0","0","0","20251208","20260610"
"55","0","0","0","0","0","0","0","20251208","20260610"
"56","0","0","0","0","0","0","0","20251208","20260610"
"57","0","0","0","0","0","0","0","20251208","20260610"
"58","0","0","0","0","0","0","0","20251208","20260610"
"59","0","0","0","0","0","0","0","20251208","20260610"
"60","0","0","0","0","0","0","0","20251208","20260610"
"61","0","0","0","0","0","0","0","20251208","20260610"
"62","0","0","0","0","0","0","0","20251208","20260610"
"63","0","0","0","0","0","0","0","20251208","20260610"
